Id,Label,name,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
n581,n581,instead,5,23.0,5.0,0.37813345886783567,0.0,7.937138E-5,7.937138E-5,17,1.8746339362387914E-4,0,1.0,10,0.010456199056760491
n582,n582,Points,5,23.0,5.0,0.37813345886783567,0.0,7.937138E-5,7.937138E-5,17,1.8746339362387914E-4,0,1.0,10,0.010456199056760491
n583,n583,Beautiful,13,26.0,5.0,0.408726625111309,6.333655444769719E-6,1.8519988E-4,1.8519988E-4,4,1.4095675832669706E-4,0,0.717948717948718,56,0.04243608748054695
n584,n584,massage,5,10.0,5.0,0.38659607748766694,0.0,7.937138E-5,7.937138E-5,4,8.175242344437787E-5,0,1.0,10,0.019650141057317865
n585,n585,Beyond,8,19.0,5.0,0.38898305084745766,5.4414452299198526E-5,1.1905707E-4,1.1905707E-4,0,1.258755502475776E-4,0,0.6428571428571429,18,0.026570795915793883
n586,n586,expecting,3,9.0,6.0,0.3195742987865526,0.0,5.2914253E-5,5.2914253E-5,2,8.414734628180231E-5,0,1.0,3,0.0029331339097595642
n587,n587,it,175,472.0,4.0,0.49068417837507633,0.00253314740153307,0.002328227,0.002328227,2,0.0017635327184427644,0,0.2276518883415435,3466,0.34632618454331815
n588,n588,ass,74,194.0,4.0,0.4602492479587452,8.895574337836505E-4,9.921422E-4,9.921422E-4,0,7.869233782922467E-4,0,0.33172898926323585,896,0.17096125979041582
n589,n589,Whew,5,11.0,5.0,0.3463404117710467,1.5327222001115475E-6,7.937138E-5,7.937138E-5,0,8.601714800620836E-5,0,0.7,7,0.009171542993010519
n590,n590,straight,10,20.0,5.0,0.3634615384615385,1.0289147620646866E-5,1.4551419E-4,1.4551419E-4,0,1.2004478362236484E-4,0,0.5111111111111111,23,0.023954870223183603
n591,n591,kick,15,33.0,5.0,0.3921161825726141,6.466954312545675E-6,2.1165701E-4,2.1165701E-4,0,1.6804201727987447E-4,0,0.7238095238095238,76,0.032749441571745926
n592,n592,LOVED,21,53.0,5.0,0.4006234413965087,1.8474054601474935E-5,2.9102838E-4,2.9102838E-4,0,2.2373540906761558E-4,0,0.6238095238095238,131,0.05243849176150063
n593,n593,Was,99,611.0,5.0,0.4535573122529645,0.003377649754810325,0.0013228563,0.0013228563,20,0.0019240008024065038,0,0.19562976705833848,949,0.1636370747085315
n594,n594,n,72,177.0,5.0,0.43377885783718106,0.0012722977053538729,9.656851E-4,9.656851E-4,0,7.867476700289438E-4,0,0.21439749608763695,548,0.11164369639523217
n595,n595,racing,22,54.0,5.0,0.40032394717169195,1.225515691567385E-4,3.0425694E-4,3.0425694E-4,12,2.6083058918173284E-4,0,0.5627705627705628,130,0.04485849625103683
n596,n596,PHENOMENAL,13,28.0,5.0,0.4044561933534743,4.823495765407313E-7,1.8519988E-4,1.8519988E-4,3,1.3987563227220643E-4,0,0.8333333333333334,65,0.04512493742395308
n597,n597,EVER,34,74.0,5.0,0.4292585170340681,8.417270595908325E-4,4.629997E-4,4.629997E-4,0,3.735531898148004E-4,0,0.3778966131907308,212,0.07995384766794794
n598,n598,Is,20,88.0,5.0,0.391304347826087,2.265445517788004E-4,2.7779982E-4,2.7779982E-4,20,3.625707757575427E-4,0,0.39473684210526316,75,0.045077793203484796
n599,n599,Still,52,109.0,5.0,0.4313330648409182,8.358688967685057E-4,7.0111384E-4,7.0111384E-4,3,5.149272829975967E-4,0,0.23755656108597284,315,0.09102115286943262
n600,n600,Celebrity,6,12.0,5.0,0.370887683250606,0.0,9.259994E-5,9.259994E-5,9,8.735715027936515E-5,0,1.0,15,0.022390701918909694
n601,n601,British,9,28.0,5.0,0.37187499999999996,3.390200928150333E-5,1.3228563E-4,1.3228563E-4,4,1.460771677453449E-4,0,0.5555555555555556,20,0.022824824710275263
n602,n602,Telegraph,5,20.0,5.0,0.33622854750941816,0.0,7.937138E-5,7.937138E-5,4,1.1634097930435603E-4,0,1.0,10,0.005774102025110155
n603,n603,actually,41,112.0,5.0,0.4377980651314893,0.0015266856610469987,5.5559963E-4,5.5559963E-4,0,5.364513303444904E-4,0,0.3439024390243902,282,0.10502473703004295
n604,n604,checking,23,51.0,5.0,0.4048129016001008,1.1521311376718935E-4,3.174855E-4,3.174855E-4,0,2.6157073502766317E-4,0,0.383399209486166,97,0.04639005743896763
n605,n605,officially,15,40.0,5.0,0.41113243761996165,7.170236561603994E-6,2.1165701E-4,2.1165701E-4,3,1.8273831470467183E-4,0,0.8,84,0.055502914806219224
n606,n606,Kept,29,73.0,5.0,0.43092811158798283,2.2691482866807194E-5,3.968569E-4,3.968569E-4,0,2.949056211942868E-4,0,0.7216748768472906,293,0.10318986595687084
n607,n607,vulnerable,7,15.0,5.0,0.3917337234820776,0.0,1.05828505E-4,1.05828505E-4,0,9.620570936583333E-5,0,1.0,21,0.028780159928848532
n608,n608,Very,85,206.0,4.0,0.46270161290322576,8.072720629178486E-4,0.0011376564,0.0011376564,0,8.164969163019771E-4,0,0.33389355742296917,1192,0.19805878073798192
n609,n609,Video,6,18.0,5.0,0.3653212052302445,0.0,9.259994E-5,9.259994E-5,9,1.3386197585394603E-4,0,1.0,15,0.01709204894122641
n610,n610,Type,24,116.0,5.0,0.37543818649217103,5.09363284156484E-5,3.3071407E-4,3.3071407E-4,9,5.291145687005274E-4,0,0.36594202898550726,101,0.03401215051627139
n611,n611,diagnosis,6,18.0,5.0,0.3653212052302445,0.0,9.259994E-5,9.259994E-5,9,1.3386197585394603E-4,0,1.0,15,0.01709204894122641
n612,n612,Show,6,18.0,5.0,0.3653212052302445,0.0,9.259994E-5,9.259994E-5,9,1.3386197585394606E-4,0,1.0,15,0.01709204894122641
n613,n613,PHOTOS,6,18.0,5.0,0.3653212052302445,0.0,9.259994E-5,9.259994E-5,9,1.3386197585394606E-4,0,1.0,15,0.01709204894122641
n614,n614,Made,57,135.0,5.0,0.4481796624354861,3.089284615626693E-4,7.6725666E-4,7.6725666E-4,3,5.450788892410618E-4,0,0.38972431077694236,622,0.14162198944087057
n615,n615,grown,13,29.0,5.0,0.37720122094388353,1.973706355647633E-6,1.8519988E-4,1.8519988E-4,3,1.4836690630001782E-4,0,0.717948717948718,56,0.031039055660613837
n616,n616,cry,115,291.0,4.0,0.4729172799528996,0.0014876334177518216,0.0015345133,0.0015345133,3,0.001131000474448795,0,0.24012204424103736,1574,0.22859451655521215
n617,n617,Hands,16,32.0,5.0,0.3948629716111589,1.1944281888682248E-5,2.2488557E-4,2.2488557E-4,3,1.614744285574731E-4,0,0.6916666666666667,83,0.047265843203838524
n618,n618,They,32,80.0,5.0,0.408726625111309,1.6207429919625057E-4,4.3654258E-4,4.3654258E-4,1,3.637561692344211E-4,0,0.37701612903225806,187,0.06160780669787299
n619,n619,Do,94,206.0,5.0,0.4567164179104477,0.0022957355772760305,0.0012567135,0.0012567135,7,8.906128723997652E-4,0,0.20475863646762754,895,0.16580333277610299
n620,n620,Not,106,284.0,5.0,0.4656521739130435,0.0034301038355519136,0.0014154563,0.0014154563,0,0.0012282413490567507,0,0.19928122192273134,1109,0.1908196670192966
n621,n621,Come,17,35.0,5.0,0.3549099745940572,4.202496352903726E-5,2.3811414E-4,2.3811414E-4,7,1.9517278595877015E-4,0,0.35294117647058826,48,0.018623111288070395
n622,n622,To,25,50.0,5.0,0.3761854583772392,1.367426264932413E-4,3.4394264E-4,3.4394264E-4,1,2.9658003130455786E-4,0,0.30666666666666664,92,0.029577530283263105
n623,n623,Play,15,30.0,4.0,0.3482171886853799,9.506685904176435E-5,2.1165701E-4,2.1165701E-4,10,2.0875405327003664E-4,0,0.4666666666666667,49,0.013900021367548095
n624,n624,Forrest,22,54.0,5.0,0.41945169712793734,1.904350007865688E-4,3.0425694E-4,3.0425694E-4,9,2.706837189306667E-4,0,0.5021645021645021,116,0.06287087052264134
n625,n625,stuck,9,20.0,5.0,0.3986847003350291,1.9378763176612363E-6,1.3228563E-4,1.3228563E-4,3,1.18767034809397E-4,0,0.7777777777777778,28,0.031116240617773145
