Id,Label,name,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
n54,n54,wine,6,12.0,5.0,0.34200053064473335,0.0,1,3.126381148245652E-4,0,1.0,15,0.02438307014385522
n55,n55,very,52,162.0,4.0,0.4466389466389466,0.002614477439388297,0,0.0026570115326241405,0,0.2692307692307692,357,0.2375149826648418
n56,n56,tense,17,38.0,4.0,0.3829471182412359,0.001186217445081055,1,8.187707546457334E-4,0,0.3088235294117647,42,0.0755729875816501
n57,n57,time,135,361.0,4.0,0.48992778411250476,0.023333596341851864,1,0.006260078494328032,0,0.13543394140409065,1225,0.4731792234921707
n58,n58,watching,68,178.0,4.0,0.46134574087329994,0.009792955017005337,13,0.003008185849763793,0,0.22431957857769974,511,0.28983269534617473
n59,n59,Probably,3,6.0,5.0,0.3170971709717097,0.0,29,2.486215452612528E-4,0,1.0,3,0.006222685785823336
n60,n60,instead,12,24.0,4.0,0.36066032456631225,2.668108839268097E-4,29,5.81859948152506E-4,0,0.6212121212121212,41,0.037625249669419304
n61,n61,recommendation,4,8.0,5.0,0.3204873197414222,2.0153784563487922E-5,29,2.916024346587726E-4,0,0.5,3,0.007256830298294445
n62,n62,really,79,185.0,4.0,0.46821649110061747,0.006933165503013274,1,0.0032270177611783786,0,0.20253164556962025,624,0.3221172878798672
n63,n63,true,50,121.0,4.0,0.438883214164113,0.001991824561667652,0,0.0020089586641083316,0,0.2963265306122449,363,0.2280366275642832
n64,n64,incredible,65,176.0,4.0,0.46035714285714285,0.007556678535984759,0,0.0028872441783261947,0,0.25817307692307695,537,0.29940715201288987
n65,n65,still,56,134.0,4.0,0.4580668088130775,0.003113481810074495,0,0.002235100951730841,0,0.29545454545454547,455,0.27330616937064733
n66,n66,Have,28,78.0,4.0,0.42220766459220443,9.82653364384188E-4,1,0.001398068487075182,0,0.34656084656084657,131,0.13381132885834418
n67,n67,seen,29,85.0,4.0,0.42995330220146766,9.607358661211467E-4,1,0.0014492480790316599,0,0.39655172413793105,161,0.16035382154457947
n68,n68,call,9,28.0,5.0,0.3535381239714756,2.514358874721916E-4,5,6.017640532757502E-4,0,0.4444444444444444,16,0.03103873393491838
n69,n69,See,13,43.0,5.0,0.35548814120242694,5.153642553388334E-4,27,9.162075475400991E-4,0,0.3717948717948718,29,0.03396850711388693
n70,n70,now,74,206.0,4.0,0.45693016660758595,0.008268119749661669,13,0.003587843828717859,0,0.17289892632358386,467,0.27641323975863324
n71,n71,tom,21,42.0,4.0,0.40230961298377027,0.0016218050445618276,1,8.99203588986896E-4,0,0.3523809523809524,74,0.09113042789382599
n72,n72,actually,10,20.0,4.0,0.38466129513578035,3.6996518967382427E-4,1,5.038574209233533E-4,0,0.4888888888888889,22,0.04691111275057039
n73,n73,person,3,6.0,5.0,0.30379448503417394,0.0,1,2.278572243102944E-4,0,1.0,3,0.00466029158012317
n74,n74,world,18,36.0,4.0,0.3839737861185582,7.295510350523249E-4,1,7.3223812007517E-4,0,0.4444444444444444,68,0.08919546401867164
n75,n75,far,39,83.0,4.0,0.43547297297297294,5.456429962143183E-4,0,0.0013742328000331072,0,0.3913630229419703,290,0.19762573492054197
n76,n76,fuck,13,28.0,5.0,0.361672278338945,6.6177601385938425E-6,29,5.561417438020445E-4,0,0.8333333333333334,65,0.04774546201828833
n77,n77,Trying,2,4.0,5.0,0.2912336195210122,0.0,1,2.080414132749385E-4,0,1.0,1,0.002242715806265129
n78,n78,decide,5,10.0,4.0,0.3746004068584714,5.453463778086829E-4,1,3.3738054221337795E-4,0,0.4,4,0.027913205915125687
n79,n79,recommend,54,139.0,4.0,0.4535538353272343,0.0016382819814111291,1,0.002229857652805115,0,0.3403214535290007,487,0.29525681226897965
n80,n80,anyone,36,90.0,4.0,0.43284083277367363,0.001731420584630701,1,0.0015356903763163318,0,0.35555555555555557,224,0.1880649767387316
n81,n81,intense,103,249.0,4.0,0.48079074972025365,0.00842936773298296,1,0.0040764761894677756,0,0.19398438987245384,1019,0.43302490577567887
n82,n82,good,183,508.0,4.0,0.506483300589391,0.03630485478226657,1,0.008592070540055095,0,0.09517804599771813,1585,0.5585171275008193
n83,n83,religion,8,16.0,4.0,0.36525928024936244,0.0,11,3.505526788999844E-4,0,1.0,28,0.056101551004254804
n84,n84,man,54,128.0,4.0,0.42795484727755645,0.004281198781362166,1,0.002382671364958793,0,0.1684136967155835,241,0.18024430016805942
n85,n85,sure,35,80.0,4.0,0.4167474943420627,0.0011186951706186586,8,0.0013845168281013446,0,0.346218487394958,206,0.15826623041918683
n86,n86,it,44,105.0,4.0,0.43903269754768387,0.0021301712281579215,11,0.0018077005016636154,0,0.2864693446088795,271,0.19820692172011162
n87,n87,amp,154,426.0,4.0,0.5001940240589833,0.04423522584125552,4,0.007547902505259896,0,0.09829386299974535,1158,0.4359676246170874
n88,n88,story,71,204.0,4.0,0.45612172682236374,0.00565440309235638,0,0.003278342602293214,0,0.21770623742454728,541,0.2949102261536473
n89,n89,Again,4,8.0,5.0,0.3597543957577449,0.0,0,2.3004524338920957E-4,0,1.0,6,0.030822529755633016
